Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
475000.0,9600,APARTMENT,APARTMENT,,4.0,173.0,False,0.0,,1.0,20.0,,,,,3.0,,1.0,1.0
159000.0,8540,HOUSE,HOUSE,GOOD,4.0,157.0,False,,,,,,,,61.0,,,,
,9810,APARTMENT,APARTMENT,,2.0,108.0,False,0.0,,1.0,,,,,,,,,1.0
265000.0,7534,HOUSE,COUNTRY_COTTAGE,TO_RENOVATE,2.0,201.0,False,,,1.0,16.0,1.0,1000.0,1000.0,4200.0,3.0,0.0,0.0,0.0
249000.0,2610,APARTMENT,APARTMENT,GOOD,2.0,99.0,False,,,1.0,5.0,,,,,,0.0,0.0,1.0
615000.0,2018,APARTMENT,APARTMENT,GOOD,4.0,200.0,False,,,1.0,11.0,,,,,,,,1.0
299000.0,9600,HOUSE,HOUSE,GOOD,4.0,216.0,False,,1.0,1.0,17.0,,,,210.0,2.0,,,
,9820,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
390000.0,4260,HOUSE,VILLA,GOOD,3.0,135.0,True,0.0,,1.0,35.0,1.0,3300.0,3300.0,3415.0,4.0,0.0,0.0,
129000.0,2060,APARTMENT,KOT,AS_NEW,1.0,18.0,False,0.0,,,,,,,,4.0,0.0,0.0,1.0
375000.0,1082,HOUSE,HOUSE,TO_BE_DONE_UP,5.0,173.0,False,0.0,,1.0,,,,,255.0,2.0,,,
274954.0,8540,APARTMENT,APARTMENT,GOOD,2.0,86.0,False,,,1.0,6.0,1.0,144.0,144.0,,,,,
303400.0,8510,HOUSE,HOUSE,GOOD,3.0,146.0,False,0.0,,1.0,,,,,134.0,,,0.0,
389000.0,8560,HOUSE,HOUSE,,4.0,184.0,False,,,1.0,21.0,1.0,120.0,120.0,221.0,2.0,,,
199000.0,1080,APARTMENT,APARTMENT,GOOD,2.0,83.0,False,,,,,,,,,2.0,0.0,,1.0
245000.0,4020,APARTMENT,APARTMENT,GOOD,2.0,87.0,False,0.0,,1.0,15.0,,,,,2.0,0.0,0.0,1.0
195000.0,1070,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,85.0,True,0.0,,1.0,20.0,,,,,2.0,0.0,0.0,1.0
495000.0,9470,HOUSE,HOUSE,AS_NEW,5.0,210.0,True,,,1.0,20.0,1.0,50.0,50.0,341.0,3.0,0.0,0.0,0.0
475524.0,8420,APARTMENT,APARTMENT,AS_NEW,2.0,93.0,True,,,1.0,18.0,,,,,,0.0,0.0,1.0
